timestamp,name,x,y,z,qx,qy,qz,qw
4327.016666666666,id_1,-0.11484090290496513,0.0,-0.12094821750271033,-0.0888705030083656,0.0465910248458385,0.5140197277069092,0.8518890738487244
4327.020833333333,id_1,-0.11484309164396059,0.0,-0.12096019796879079,-0.0889397710561752,0.0467032641172409,0.5138685703277588,0.8519668579101562
4327.025,id_1,-0.11485027704368914,0.0,-0.12097102646697888,-0.0890588164329528,0.0467899180948734,0.513729989528656,0.8520333170890808
4327.029166666666,id_1,-0.11486065915431895,0.0,-0.12097468396503709,-0.0891661942005157,0.0468757338821888,0.5135450959205627,0.852128803730011
4327.033333333333,id_1,-0.11485995357398489,0.0,-0.12097770788075451,-0.0893174558877945,0.0470574684441089,0.5134403705596924,0.8521659970283508
4327.0375,id_1,-0.11485816802375173,0.0,-0.12099052352355691,-0.0894296839833259,0.0472100041806697,0.5133098363876343,0.8522244691848755
4327.041666666667,id_1,-0.11486044316033912,0.0,-0.12100348316234585,-0.0895737633109092,0.0473712161183357,0.513202965259552,0.8522648215293884
4327.045833333334,id_1,-0.11485511530883702,0.0,-0.12099919208194687,-0.089675985276699,0.0477398000657558,0.5130807161331177,0.8523070812225342
4327.05,id_1,-0.11485776483498943,0.0,-0.12100506711819786,-0.0897796228528022,0.0479409545660018,0.5129342675209045,0.8523730635643005
4327.054166666667,id_1,-0.11484744032275422,0.0,-0.12101387967257432,-0.0899678096175193,0.0481912530958652,0.5128078460693359,0.852415144443512
4327.058333333333,id_1,-0.11484397001947852,0.0,-0.12103236875724657,-0.0901339277625083,0.0484235659241676,0.5126704573631287,0.8524670600891113
4327.0625,id_1,-0.11484546757773856,0.0,-0.1210492162876722,-0.0903196111321449,0.0486279428005218,0.5125371813774109,0.8525159358978271
4327.066666666667,id_1,-0.11484294764797406,0.0,-0.12105857602679755,-0.0905267298221588,0.0488056614995002,0.5123938918113708,0.8525699377059937
4327.070833333333,id_1,-0.11484516518616683,0.0,-0.12106839655307984,-0.0907002910971641,0.0490194037556648,0.5122732520103455,0.852611780166626
4327.075,id_1,-0.11484864988904118,0.0,-0.12108322813969385,-0.0908445492386818,0.0491523332893848,0.5121431946754456,0.8526667356491089
4327.079166666666,id_1,-0.11484368202750543,0.0,-0.12109702295520476,-0.0909932255744934,0.0492935329675674,0.5120204091072083,0.8527166247367859
4327.083333333333,id_1,-0.11484306284476328,0.0,-0.12110563391520007,-0.0911312028765678,0.0494545176625251,0.5118761658668518,0.8527791500091553
4327.0875,id_1,-0.11484673474242015,0.0,-0.12111110576268874,-0.09122184664011,0.0495410822331905,0.5117548704147339,0.8528371453285217
4327.091666666666,id_1,-0.11485252338107922,0.0,-0.1211128913129219,-0.0913494080305099,0.049674741923809,0.5116393566131592,0.8528850078582764
4327.095833333333,id_1,-0.11485253778067787,0.0,-0.1211185071563971,-0.0914950147271156,0.0497737117111682,0.511517345905304,0.852936863899231
4327.1,id_1,-0.11484330763794041,0.0,-0.12112325902395304,-0.0916419476270675,0.0498679168522357,0.5113961100578308,0.8529883027076721
4327.104166666667,id_1,-0.1148494994653618,0.0,-0.12113224437351344,-0.0917996242642402,0.0500009655952453,0.5113161206245422,0.853011429309845
4327.108333333334,id_1,-0.11484309164396059,0.0,-0.12112579335331622,-0.0918687507510185,0.0500873886048793,0.5112172961235046,0.8530582785606384
4327.1125,id_1,-0.11484546757773856,0.0,-0.1211276653011413,-0.0920330956578254,0.0501689501106739,0.5111393928527832,0.8530823588371277
4327.116666666667,id_1,-0.11483946294509968,0.0,-0.12113040122488562,-0.092129535973072,0.0502882152795791,0.5110430717468262,0.8531225919723511
